CLIENT_REGION_NAME;CLIENT_CITY;AVG_LATENCY
Antioquia;Aguas Frias;30,14285714
Antioquia;Alta Vista;95,03571429
Antioquia;Altavista;90,66666667
Antioquia;Antioquia;154,5333333
Antioquia;Apartado;172,7473684
Antioquia;Barbosa;173,8095238
Antioquia;Barrios de Jesus;82,625
Antioquia;Bello;111,3438114
Antioquia;Caldas;161,3409091
Antioquia;Carmen de Viboral;33
Antioquia;Caucasia;178,7118644
Antioquia;Cisneros;168,2340426
Antioquia;El Carmen de Viboral;21,625
Antioquia;El Corazon;72,26666667
Antioquia;El Poblado;93,125
Antioquia;El Retiro;28,25
Antioquia;Envigado;91,19283971
Antioquia;Guarne;96,28571429
Antioquia;Itaguei;112,2325581
Antioquia;La Ceja;145,2666667
Antioquia;La Estrella;124,5045455
Antioquia;Los Andes;126,0033898
Antioquia;Marinilla;173,4262295
Antioquia;MedellAn;117,2410487
Antioquia;Medellin;105,9972104
Antioquia;Municipio de Copacabana;127,3817204
Antioquia;Narino;227,5
Antioquia;Puerto Berrio;41,52631579
Antioquia;Rionegro;99,52185792
Antioquia;Rosales;93,36363636
Antioquia;Sabaneta;93,37957611
Antioquia;San Pedro;76,4516129
Antioquia;Turbo;111,5714286
Arauca;Arauca;124,7231638
Atlantico;Barranquilla;134,0162044
Atlantico;Galapa;158,1428571
Atlantico;Malambo;210,6201681
Atlantico;Puerto Colombia;125,9677419
Atlantico;Soledad;233,8249856
Bogota;Barrios Unidos;111,25
Bogota;Bogota;87,1480631
Bogota;Bosa;297,3529412
Bogota;Boyaca;47,6
Bogota;Brasilia;78
Bogota;Bravo Paez;59,33333333
Bogota;Casanare;18
Bogota;Castilla;49,5
Bogota;Cedritos;115,6
Bogota;Chico;55,53846154
Bogota;Ciudad Salitre;40,33333333
Bogota;El Codito;35
Bogota;Engativa;72,23448276
Bogota;Fontibon;172,125
Bogota;Gaitan;31,5
Bogota;Kennedy;134,4285714
Bogota;Los Alamos;65,33333333
Bogota;Puente Aranda;89,54545455
Bogota;Suba;83,67857143
Bogota;Teusaquillo;128,3
Bogota;Tunjuelito;191,5
